RBP,Cell & tissue typeHepG2K562,RBS location,Score,PhastCons score,PhyloP score,Transcript ID,Data accession,Overexpression Info
PABPC4,K562,chr19:58555872-58555898;-,400,0.581,0.965,ENST00000253023,ENCODE,No
PABPC4,K562,chr19:58555898-58555917;-,400,0.817,0.925,ENST00000253023,ENCODE,No
PABPC4,K562,chr19:58556191-58556229;-,400,0.932,2.491,ENST00000253023,ENCODE,No
PABPC4,K562,chr19:58556191-58556229;-,400,0.932,2.491,ENST00000595957,ENCODE,No
PABPC4,K562,chr19:58556315-58556344;-,400,0.998,2.955,ENST00000596985,ENCODE,No
PABPC4,K562,chr19:58556315-58556344;-,400,0.998,2.955,ENST00000253023,ENCODE,No
PABPC4,K562,chr19:58556315-58556344;-,400,0.998,2.955,ENST00000595957,ENCODE,No
PABPC4,K562,chr19:58555815-58555863;-,86.761,0.64,0.9,ENST00000253023,ENCODE,No
PABPC4,K562,chr19:58555775-58555815;-,72.058,0.201,0.507,ENST00000253023,ENCODE,No
DDX55,K562,chr19:58555867-58555916;-,66.386,0.707,1.065,ENST00000253023,ENCODE,No
PABPC4,K562,chr19:58556314-58556345;-,65.054,0.998,2.988,ENST00000596985,ENCODE,No
PABPC4,K562,chr19:58555778-58555850;-,58.503,0.381,0.678,ENST00000253023,ENCODE,No
DDX55,K562,chr19:58555916-58555926;-,47.945,0.83,1.667,ENST00000253023,ENCODE,No
PABPC4,K562,chr19:58555917-58555925;-,46.573,0.791,1.803,ENST00000253023,ENCODE,No
DDX3X,K562,chr19:58558446-58558613;-,43.957,0.186,0.229,ENST00000253023,ENCODE,No
GEMIN5,K562,chr19:58558387-58558518;-,42.403,0.348,0.497,ENST00000253023,ENCODE,No
DDX55,K562,chr19:58555873-58555893;-,35.522,0.544,0.912,ENST00000253023,ENCODE,No
DDX55,K562,chr19:58555893-58555926;-,35.043,0.789,1.176,ENST00000253023,ENCODE,No
DDX55,K562,chr19:58555792-58555867;-,30.661,0.564,0.793,ENST00000253023,ENCODE,No
DDX3X,HepG2,chr19:58558476-58558635;-,29.287,0.14,0.129,ENST00000253023,ENCODE,No
DDX3X,HepG2,chr19:58558381-58558471;-,28.916,0.483,0.686,ENST00000253023,ENCODE,No
PABPC4,K562,chr19:58558393-58558429;-,26.319,0.548,0.842,ENST00000253023,ENCODE,No
PABPC4,K562,chr19:58555872-58555921;-,26.027,0.707,1.039,ENST00000253023,ENCODE,No
DDX3X,K562,chr19:58558837-58558920;-,25.289,0.206,0.252,ENST00000253023,ENCODE,No
DDX3X,K562,chr19:58558837-58558920;-,25.289,0.206,0.252,ENST00000595957,ENCODE,No
LARP4,HepG2,chr19:58555883-58555918;-,24.904,0.814,1.035,ENST00000253023,ENCODE,No
GEMIN5,K562,chr19:58558382-58558449;-,20.235,0.516,0.786,ENST00000253023,ENCODE,No
GEMIN5,K562,chr19:58558471-58558537;-,19.441,0.123,0.182,ENST00000253023,ENCODE,No
GTF2F1,K562,chr19:58557394-58557514;-,18.213,0.002,-0.719,ENST00000253023,ENCODE,No
GTF2F1,K562,chr19:58557394-58557514;-,18.213,0.002,-0.719,ENST00000595957,ENCODE,No
YBX3,K562,chr19:58556689-58556704;-,17.212,1,3.81,ENST00000595957,ENCODE,No
YBX3,K562,chr19:58556689-58556704;-,17.212,1,3.81,ENST00000253023,ENCODE,No
YBX3,K562,chr19:58556689-58556704;-,17.212,1,3.81,ENST00000596985,ENCODE,No
DDX3X,HepG2,chr19:58558471-58558550;-,16.822,0.103,0.105,ENST00000253023,ENCODE,No
GTF2F1,K562,chr19:58558007-58558082;-,16.794,0.001,-0.359,ENST00000253023,ENCODE,No
GTF2F1,K562,chr19:58558007-58558082;-,16.794,0.001,-0.359,ENST00000595957,ENCODE,No
DDX3X,K562,chr19:58558387-58558446;-,16.236,0.501,0.792,ENST00000253023,ENCODE,No
DDX6,K562,chr19:58555787-58555852;-,15.87,0.445,0.722,ENST00000253023,ENCODE,No
DDX3X,HepG2,chr19:58558386-58558452;-,15.577,0.463,0.711,ENST00000253023,ENCODE,No
