RBP,Cell & tissue typepredicted,RBS location,Score,PhastCons score,PhyloP score,Transcript ID,Genomic Context,Overexpression Info
BRUNOL5,predicted,chr17:54672450-54672500;+,1,4.828,NaN,ENST00000332822,UTR3,undefined
RBM3,predicted,chr17:54672900-54672950;+,1,4.088,NaN,ENST00000332822,UTR3,undefined
SRSF10,predicted,chr17:54672600-54672650;+,1,2.813,NaN,ENST00000332822,UTR3,undefined
SRSF10,predicted,chr17:54672600-54672650;+,1,2.813,NaN,ENST00000332822,UTR3,undefined
SRSF10,predicted,chr17:54672600-54672650;+,1,2.813,NaN,ENST00000332822,UTR3,undefined
TARDBP,predicted,chr17:54672450-54672500;+,1,4.828,NaN,ENST00000332822,UTR3,undefined
PPRC1,predicted,chr17:54671100-54671150;+,0.996,2.005,NaN,ENST00000332822,UTR5,undefined
RBM8A,predicted,chr17:54671100-54671150;+,0.996,2.005,NaN,ENST00000332822,UTR5,undefined
RBM4,predicted,chr17:54671500-54671550;+,0.994,1.664,NaN,ENST00000332822,UTR5,undefined
RBM4,predicted,chr17:54671500-54671550;+,0.994,1.664,NaN,ENST00000332822,UTR5,undefined
RBM6,predicted,chr17:54671500-54671550;+,0.994,1.664,NaN,ENST00000332822,UTR5,undefined
RBM8A,predicted,chr17:54671500-54671550;+,0.994,1.664,NaN,ENST00000332822,UTR5,undefined
ZC3H10,predicted,chr17:54671500-54671550;+,0.994,1.664,NaN,ENST00000332822,UTR5,undefined
ZNF638,predicted,chr17:54671500-54671550;+,0.994,1.664,NaN,ENST00000332822,UTR5,undefined
HNRNPC,predicted,chr17:54672400-54672450;+,0.992,2.641,NaN,ENST00000332822,UTR3,undefined
HNRNPCL1,predicted,chr17:54672400-54672450;+,0.992,2.641,NaN,ENST00000332822,UTR3,undefined
HuR,predicted,chr17:54672400-54672450;+,0.992,2.641,NaN,ENST00000332822,UTR3,undefined
HuR,predicted,chr17:54672400-54672450;+,0.992,2.641,NaN,ENST00000332822,UTR3,undefined
HuR,predicted,chr17:54672400-54672450;+,0.992,2.641,NaN,ENST00000332822,UTR3,undefined
HuR,predicted,chr17:54672400-54672450;+,0.992,2.641,NaN,ENST00000332822,UTR3,undefined
HuR,predicted,chr17:54672400-54672450;+,0.992,2.641,NaN,ENST00000332822,UTR3,undefined
