RBP,Cell & tissue typeHepG2K562adrenal gland,RBS location,Score,PhastCons score,PhyloP score,Transcript ID,Data accession,Overexpression Info
DDX3X,HepG2,chr6:89352723-89352832;-,23.649,0.145,0.275,ENST00000435041,ENCODE,No
UTP3,K562,chr6:89352760-89352769;-,20.967,0,0.04,ENST00000435041,ENCODE,No
UTP3,K562,chr6:89352769-89352777;-,20.01,0.002,0.383,ENST00000435041,ENCODE,No
UTP3,K562,chr6:89352777-89352787;-,20.01,0.009,0.152,ENST00000435041,ENCODE,No
UTP3,K562,chr6:89352787-89352795;-,20.01,0.012,0.427,ENST00000435041,ENCODE,No
DDX3X,K562,chr6:89352631-89352706;-,19.765,0.025,-0.032,ENST00000435041,ENCODE,No
YBX3,K562,chr6:89333085-89333200;-,13.071,0.9,2.035,ENST00000435041,ENCODE,No
YBX3,K562,chr6:89333093-89333146;-,12.212,0.866,1.778,ENST00000435041,ENCODE,No
DGCR8,adrenal gland,chr6:89351018-89351026;-,11.321,0.002,-0.047,ENST00000435041,ENCODE,No
DGCR8,adrenal gland,chr6:89351026-89351058;-,11.321,0.007,-0.389,ENST00000435041,ENCODE,No
PUM2,K562,chr6:89329349-89329395;-,10.88,0.526,0.872,ENST00000435041,ENCODE,No
FAM120A,K562,chr6:89328278-89328363;-,10.528,0.366,0.626,ENST00000435041,ENCODE,No
PCBP2,HepG2,chr6:89339220-89339265;-,10.284,0.017,-0.058,ENST00000435041,ENCODE,No
ILF3,K562,chr6:89339206-89339264;-,9.431,0.014,-0.023,ENST00000435041,ENCODE,No
YBX3,K562,chr6:89333146-89333205;-,9.116,0.926,2.405,ENST00000435041,ENCODE,No
DDX3X,K562,chr6:89352706-89352757;-,8.236,0.144,0.162,ENST00000435041,ENCODE,No
YBX3,K562,chr6:89335337-89335406;-,8.208,0.921,3.279,ENST00000435041,ENCODE,No
YBX3,K562,chr6:89335310-89335422;-,7.776,0.944,3.582,ENST00000435041,ENCODE,No
PCBP2,HepG2,chr6:89339389-89339439;-,7.753,0.013,0.072,ENST00000435041,ENCODE,No
YBX3,K562,chr6:89329899-89329929;-,7.15,0.588,1.355,ENST00000435041,ENCODE,No
ILF3,K562,chr6:89339215-89339246;-,6.869,0.009,-0.195,ENST00000435041,ENCODE,No
TIA1,K562,chr6:89329471-89329536;-,6.616,0.3,0.736,ENST00000435041,ENCODE,No
ILF3,K562,chr6:89339246-89339266;-,6.413,0.027,0.2,ENST00000435041,ENCODE,No
YBX3,K562,chr6:89329781-89329835;-,6.317,0.859,2.018,ENST00000435041,ENCODE,No
FAM120A,K562,chr6:89329205-89329252;-,6.311,0.113,0.585,ENST00000435041,ENCODE,No
TIA1,K562,chr6:89329462-89329573;-,6.249,0.546,1.027,ENST00000435041,ENCODE,No
FAM120A,K562,chr6:89328342-89328399;-,6.08,0.307,0.582,ENST00000435041,ENCODE,No
PCBP2,HepG2,chr6:89339477-89339525;-,5.892,0.094,0.124,ENST00000435041,ENCODE,No
GTF2F1,K562,chr6:89339214-89339263;-,5.569,0.015,-0.05,ENST00000435041,ENCODE,No
LIN28B,K562,chr6:89329716-89329817;-,4.962,0.926,3.434,ENST00000435041,ENCODE,No
HNRNPM,HepG2,chr6:89349993-89350100;-,4.932,0.012,-0.086,ENST00000435041,ENCODE,No
AQR,K562,chr6:89338137-89338193;-,4.827,0.077,0.175,ENST00000435041,ENCODE,No
YBX3,K562,chr6:89329791-89329831;-,4.815,0.87,2.099,ENST00000435041,ENCODE,No
PUM2,K562,chr6:89329409-89329443;-,4.759,0.583,0.713,ENST00000435041,ENCODE,No
FUBP3,HepG2,chr6:89329311-89329421;-,4.628,0.406,0.811,ENST00000435041,ENCODE,No
PUM2,K562,chr6:89329517-89329560;-,4.586,0.779,1.116,ENST00000435041,ENCODE,No
UTP3,K562,chr6:89330758-89330766;-,4.542,0.001,0.084,ENST00000435041,ENCODE,No
UTP3,K562,chr6:89330766-89330793;-,4.542,0.009,-0.209,ENST00000435041,ENCODE,No
