RBP,Cell & tissue typeHepG2K562,RBS location,Score,PhastCons score,PhyloP score,Transcript ID,Data accession,Overexpression Info
DDX3X,K562,chr19:55407694-55407769;-,79.004,0.077,-0.131,ENST00000589978,ENCODE,No
DDX3X,K562,chr19:55407694-55407769;-,79.004,0.077,-0.131,ENST00000264552,ENCODE,No
GEMIN5,K562,chr19:55407695-55407767;-,77.28,0.072,-0.131,ENST00000589978,ENCODE,No
GEMIN5,K562,chr19:55407695-55407767;-,77.28,0.072,-0.131,ENST00000264552,ENCODE,No
DDX55,K562,chr19:55407690-55407767;-,65.335,0.123,-0.036,ENST00000589978,ENCODE,No
DDX55,K562,chr19:55407690-55407767;-,65.335,0.123,-0.036,ENST00000264552,ENCODE,No
PABPC4,K562,chr19:55407694-55407774;-,59.076,0.073,-0.11,ENST00000264552,ENCODE,No
PABPC4,K562,chr19:55407697-55407768;-,57.152,0.067,-0.158,ENST00000589978,ENCODE,No
PABPC4,K562,chr19:55407697-55407768;-,57.152,0.067,-0.158,ENST00000264552,ENCODE,No
GEMIN5,K562,chr19:55407622-55407695;-,54.486,0.734,0.907,ENST00000587845,ENCODE,No
GEMIN5,K562,chr19:55407622-55407695;-,54.486,0.734,0.907,ENST00000589978,ENCODE,No
GEMIN5,K562,chr19:55407622-55407695;-,54.486,0.734,0.907,ENST00000264552,ENCODE,No
EFTUD2,K562,chr19:55407421-55407542;-,46.123,0.007,-0.07,ENST00000264552,ENCODE,No
EFTUD2,K562,chr19:55407421-55407542;-,46.123,0.007,-0.07,ENST00000587845,ENCODE,No
EFTUD2,K562,chr19:55407421-55407542;-,46.123,0.007,-0.07,ENST00000589978,ENCODE,No
PTBP1,K562,chr19:55403451-55403523;-,41.266,0.007,-0.062,ENST00000264552,ENCODE,No
PTBP1,K562,chr19:55403451-55403523;-,41.266,0.007,-0.062,ENST00000587845,ENCODE,No
PTBP1,K562,chr19:55403451-55403523;-,41.266,0.007,-0.062,ENST00000589978,ENCODE,No
PABPC4,K562,chr19:55401513-55401571;-,40.761,0.585,1.763,ENST00000264552,ENCODE,No
YBX3,K562,chr19:55406817-55406834;-,40.627,0.999,4.471,ENST00000264552,ENCODE,No
YBX3,K562,chr19:55406817-55406834;-,40.627,0.999,4.471,ENST00000587845,ENCODE,No
YBX3,K562,chr19:55406817-55406834;-,40.627,0.999,4.471,ENST00000589978,ENCODE,No
YBX3,K562,chr19:55404475-55404478;-,38.65,1,5.533,ENST00000264552,ENCODE,No
YBX3,K562,chr19:55404475-55404478;-,38.65,1,5.533,ENST00000587845,ENCODE,No
YBX3,K562,chr19:55404463-55404475;-,38.535,0.829,4.638,ENST00000264552,ENCODE,No
YBX3,K562,chr19:55404463-55404475;-,38.535,0.829,4.638,ENST00000587845,ENCODE,No
DDX6,K562,chr19:55401507-55401648;-,35.735,0.475,1.6,ENST00000264552,ENCODE,No
DDX3X,K562,chr19:55407631-55407694;-,32.977,0.716,0.864,ENST00000587845,ENCODE,No
DDX3X,K562,chr19:55407631-55407694;-,32.977,0.716,0.864,ENST00000589978,ENCODE,No
DDX3X,K562,chr19:55407631-55407694;-,32.977,0.716,0.864,ENST00000264552,ENCODE,No
YBX3,K562,chr19:55404449-55404475;-,28.845,0.796,4.624,ENST00000264552,ENCODE,No
YBX3,K562,chr19:55404449-55404475;-,28.845,0.796,4.624,ENST00000587845,ENCODE,No
EFTUD2,K562,chr19:55407484-55407564;-,28.035,0.01,-0.016,ENST00000264552,ENCODE,No
EFTUD2,K562,chr19:55407484-55407564;-,28.035,0.01,-0.016,ENST00000587845,ENCODE,No
EFTUD2,K562,chr19:55407484-55407564;-,28.035,0.01,-0.016,ENST00000589978,ENCODE,No
YBX3,K562,chr19:55406814-55406816;-,27.144,0.985,3.503,ENST00000264552,ENCODE,No
YBX3,K562,chr19:55406814-55406816;-,27.144,0.985,3.503,ENST00000587845,ENCODE,No
YBX3,K562,chr19:55406814-55406816;-,27.144,0.985,3.503,ENST00000589978,ENCODE,No
DDX3X,HepG2,chr19:55407700-55407765;-,25.578,0.073,-0.171,ENST00000589978,ENCODE,No
DDX3X,HepG2,chr19:55407700-55407765;-,25.578,0.073,-0.171,ENST00000264552,ENCODE,No
