RBP,Cell & tissue typeHepG2K562adrenal gland,RBS location,Score,PhastCons score,PhyloP score,Transcript ID,Data accession,Overexpression Info
HNRNPM,K562,chr16:1310928-1310959;+,98.098,0.001,-0.168,ENST00000325437,ENCODE,No
HNRNPM,K562,chr16:1310928-1310959;+,98.098,0.001,-0.168,ENST00000355803,ENCODE,No
HNRNPM,K562,chr16:1310928-1310959;+,98.098,0.001,-0.168,ENST00000397514,ENCODE,No
HNRNPM,K562,chr16:1310928-1310959;+,98.098,0.001,-0.168,ENST00000397515,ENCODE,No
HNRNPM,K562,chr16:1310928-1310959;+,98.098,0.001,-0.168,ENST00000403747,ENCODE,No
HNRNPM,K562,chr16:1310928-1310959;+,98.098,0.001,-0.168,ENST00000473256,ENCODE,No
HNRNPM,K562,chr16:1310928-1310959;+,98.098,0.001,-0.168,ENST00000562482,ENCODE,No
HNRNPM,K562,chr16:1310928-1310959;+,98.098,0.001,-0.168,ENST00000566587,ENCODE,No
HNRNPM,K562,chr16:1310928-1310959;+,98.098,0.001,-0.168,ENST00000567383,ENCODE,No
HNRNPM,K562,chr16:1310928-1310959;+,98.098,0.001,-0.168,ENST00000568209,ENCODE,No
HNRNPM,K562,chr16:1310928-1310959;+,98.098,0.001,-0.168,ENST00000568288,ENCODE,No
HNRNPM,K562,chr16:1310905-1310928;+,85.012,0,-0.515,ENST00000325437,ENCODE,No
HNRNPM,K562,chr16:1310905-1310928;+,85.012,0,-0.515,ENST00000355803,ENCODE,No
HNRNPM,K562,chr16:1310905-1310928;+,85.012,0,-0.515,ENST00000397514,ENCODE,No
HNRNPM,K562,chr16:1310905-1310928;+,85.012,0,-0.515,ENST00000397515,ENCODE,No
HNRNPM,K562,chr16:1310905-1310928;+,85.012,0,-0.515,ENST00000403747,ENCODE,No
HNRNPM,K562,chr16:1310905-1310928;+,85.012,0,-0.515,ENST00000473256,ENCODE,No
HNRNPM,K562,chr16:1310905-1310928;+,85.012,0,-0.515,ENST00000562482,ENCODE,No
HNRNPM,K562,chr16:1310905-1310928;+,85.012,0,-0.515,ENST00000566587,ENCODE,No
HNRNPM,K562,chr16:1310905-1310928;+,85.012,0,-0.515,ENST00000567383,ENCODE,No
HNRNPM,K562,chr16:1310905-1310928;+,85.012,0,-0.515,ENST00000568209,ENCODE,No
HNRNPM,K562,chr16:1310905-1310928;+,85.012,0,-0.515,ENST00000568288,ENCODE,No
HNRNPM,K562,chr16:1310776-1310795;+,82.753,0,-0.465,ENST00000325437,ENCODE,No
HNRNPM,K562,chr16:1310776-1310795;+,82.753,0,-0.465,ENST00000355803,ENCODE,No
HNRNPM,K562,chr16:1310776-1310795;+,82.753,0,-0.465,ENST00000397514,ENCODE,No
HNRNPM,K562,chr16:1310776-1310795;+,82.753,0,-0.465,ENST00000397515,ENCODE,No
HNRNPM,K562,chr16:1310776-1310795;+,82.753,0,-0.465,ENST00000403747,ENCODE,No
HNRNPM,K562,chr16:1310776-1310795;+,82.753,0,-0.465,ENST00000473256,ENCODE,No
HNRNPM,K562,chr16:1310776-1310795;+,82.753,0,-0.465,ENST00000562482,ENCODE,No
HNRNPM,K562,chr16:1310776-1310795;+,82.753,0,-0.465,ENST00000566587,ENCODE,No
HNRNPM,K562,chr16:1310776-1310795;+,82.753,0,-0.465,ENST00000567383,ENCODE,No
HNRNPM,K562,chr16:1310776-1310795;+,82.753,0,-0.465,ENST00000568209,ENCODE,No
HNRNPM,K562,chr16:1310776-1310795;+,82.753,0,-0.465,ENST00000568288,ENCODE,No
HNRNPM,K562,chr16:1310855-1310905;+,78.801,0,-0.464,ENST00000325437,ENCODE,No
HNRNPM,K562,chr16:1310855-1310905;+,78.801,0,-0.464,ENST00000355803,ENCODE,No
HNRNPM,K562,chr16:1310855-1310905;+,78.801,0,-0.464,ENST00000397514,ENCODE,No
HNRNPM,K562,chr16:1310855-1310905;+,78.801,0,-0.464,ENST00000397515,ENCODE,No
HNRNPM,K562,chr16:1310855-1310905;+,78.801,0,-0.464,ENST00000403747,ENCODE,No
HNRNPM,K562,chr16:1310855-1310905;+,78.801,0,-0.464,ENST00000473256,ENCODE,No
HNRNPM,K562,chr16:1310855-1310905;+,78.801,0,-0.464,ENST00000562482,ENCODE,No
HNRNPM,K562,chr16:1310855-1310905;+,78.801,0,-0.464,ENST00000566587,ENCODE,No
HNRNPM,K562,chr16:1310855-1310905;+,78.801,0,-0.464,ENST00000567383,ENCODE,No
HNRNPM,K562,chr16:1310855-1310905;+,78.801,0,-0.464,ENST00000568209,ENCODE,No
HNRNPM,K562,chr16:1310855-1310905;+,78.801,0,-0.464,ENST00000568288,ENCODE,No
HNRNPM,K562,chr16:1310795-1310814;+,69.162,0.003,-0.093,ENST00000325437,ENCODE,No
HNRNPM,K562,chr16:1310795-1310814;+,69.162,0.003,-0.093,ENST00000355803,ENCODE,No
HNRNPM,K562,chr16:1310795-1310814;+,69.162,0.003,-0.093,ENST00000397514,ENCODE,No
HNRNPM,K562,chr16:1310795-1310814;+,69.162,0.003,-0.093,ENST00000397515,ENCODE,No
HNRNPM,K562,chr16:1310795-1310814;+,69.162,0.003,-0.093,ENST00000403747,ENCODE,No
HNRNPM,K562,chr16:1310795-1310814;+,69.162,0.003,-0.093,ENST00000473256,ENCODE,No
HNRNPM,K562,chr16:1310795-1310814;+,69.162,0.003,-0.093,ENST00000562482,ENCODE,No
HNRNPM,K562,chr16:1310795-1310814;+,69.162,0.003,-0.093,ENST00000566587,ENCODE,No
HNRNPM,K562,chr16:1310795-1310814;+,69.162,0.003,-0.093,ENST00000567383,ENCODE,No
HNRNPM,K562,chr16:1310795-1310814;+,69.162,0.003,-0.093,ENST00000568209,ENCODE,No
HNRNPM,K562,chr16:1310795-1310814;+,69.162,0.003,-0.093,ENST00000568288,ENCODE,No
PRPF8,HepG2,chr16:1320509-1320564;+,66.064,0.247,1.244,ENST00000402301,ENCODE,No
HNRNPM,K562,chr16:1310898-1310989;+,60.156,0.032,-0.153,ENST00000325437,ENCODE,No
HNRNPM,K562,chr16:1310898-1310989;+,60.156,0.032,-0.153,ENST00000355803,ENCODE,No
HNRNPM,K562,chr16:1310898-1310989;+,60.156,0.032,-0.153,ENST00000397514,ENCODE,No
