RBP,Cell & tissue typepredicted,RBS location,Score,PhastCons score,PhyloP score,Transcript ID,Genomic Context,Overexpression Info
RBM4,predicted,chr17:41835900-41835950;-,0.958,3.077,NaN,ENST00000301691,CDS,undefined
SRSF1,predicted,chr17:41835900-41835950;-,0.958,3.077,NaN,ENST00000301691,CDS,undefined
RBM4,predicted,chr17:41833000-41833050;-,0.939,4.689,NaN,ENST00000301691,CDS,undefined
RBM8A,predicted,chr17:41833000-41833050;-,0.939,4.689,NaN,ENST00000301691,CDS,undefined
ZC3H10,predicted,chr17:41833000-41833050;-,0.939,4.689,NaN,ENST00000301691,CDS,undefined
FUS,predicted,chr17:41832850-41832900;-,0.929,3.793,NaN,ENST00000301691,CDS,undefined
PPRC1,predicted,chr17:41832850-41832900;-,0.929,3.793,NaN,ENST00000301691,CDS,undefined
RBM8A,predicted,chr17:41832850-41832900;-,0.929,3.793,NaN,ENST00000301691,CDS,undefined
ZC3H10,predicted,chr17:41832850-41832900;-,0.929,3.793,NaN,ENST00000301691,CDS,undefined
FUS,predicted,chr17:41833050-41833100;-,0.873,3.93,NaN,ENST00000301691,CDS,undefined
RBM8A,predicted,chr17:41833050-41833100;-,0.873,3.93,NaN,ENST00000301691,CDS,undefined
ZC3H10,predicted,chr17:41833050-41833100;-,0.873,3.93,NaN,ENST00000301691,CDS,undefined
FUS,predicted,chr17:41832900-41832950;-,0.861,3.709,NaN,ENST00000301691,CDS,undefined
PPRC1,predicted,chr17:41832900-41832950;-,0.861,3.709,NaN,ENST00000301691,CDS,undefined
RBM4,predicted,chr17:41832900-41832950;-,0.861,3.709,NaN,ENST00000301691,CDS,undefined
RBM4,predicted,chr17:41832900-41832950;-,0.861,3.709,NaN,ENST00000301691,CDS,undefined
RBM8A,predicted,chr17:41832900-41832950;-,0.861,3.709,NaN,ENST00000301691,CDS,undefined
ZC3H10,predicted,chr17:41832900-41832950;-,0.861,3.709,NaN,ENST00000301691,CDS,undefined
RBM8A,predicted,chr17:41832750-41832800;-,0.756,1.897,NaN,ENST00000301691,CDS,undefined
FUS,predicted,chr17:41834500-41834550;-,0.715,0.978,NaN,ENST00000301691,intron,undefined
RBM46,predicted,chr17:41831100-41831150;-,0.576,1.251,NaN,ENST00000301691,UTR3,undefined
TARDBP,predicted,chr17:41831250-41831300;-,0.409,0.755,NaN,ENST00000301691,UTR3,undefined
