RBP,Cell & tissue typeHepG2K562adrenal gland,RBS location,Score,PhastCons score,PhyloP score,Transcript ID,Data accession,Overexpression Info
PABPC4,K562,chr4:102796685-102796751;-,400,1,5.024,ENST00000453744,ENCODE,No
PABPC4,K562,chr4:102796685-102796751;-,400,1,5.024,ENST00000394804,ENCODE,No
PABPC4,K562,chr4:102796685-102796751;-,400,1,5.024,ENST00000618836,ENCODE,No
PABPC4,K562,chr4:102796685-102796751;-,400,1,5.024,ENST00000394801,ENCODE,No
PABPC4,K562,chr4:102796685-102796751;-,400,1,5.024,ENST00000394803,ENCODE,No
PABPC4,K562,chr4:102796685-102796751;-,400,1,5.024,ENST00000343106,ENCODE,No
PABPC4,K562,chr4:102796691-102796720;-,400,1,5.683,ENST00000453744,ENCODE,No
PABPC4,K562,chr4:102796691-102796720;-,400,1,5.683,ENST00000394804,ENCODE,No
PABPC4,K562,chr4:102796691-102796720;-,400,1,5.683,ENST00000618836,ENCODE,No
PABPC4,K562,chr4:102796691-102796720;-,400,1,5.683,ENST00000394801,ENCODE,No
PABPC4,K562,chr4:102796691-102796720;-,400,1,5.683,ENST00000394803,ENCODE,No
PABPC4,K562,chr4:102796691-102796720;-,400,1,5.683,ENST00000343106,ENCODE,No
PABPC4,K562,chr4:102796720-102796749;-,400,1,4.256,ENST00000453744,ENCODE,No
PABPC4,K562,chr4:102796720-102796749;-,400,1,4.256,ENST00000394804,ENCODE,No
PABPC4,K562,chr4:102796720-102796749;-,400,1,4.256,ENST00000618836,ENCODE,No
PABPC4,K562,chr4:102796720-102796749;-,400,1,4.256,ENST00000394801,ENCODE,No
PABPC4,K562,chr4:102796720-102796749;-,400,1,4.256,ENST00000394803,ENCODE,No
PABPC4,K562,chr4:102796720-102796749;-,400,1,4.256,ENST00000343106,ENCODE,No
DDX3X,HepG2,chr4:102827444-102827525;-,400,1,2.079,ENST00000505307,ENCODE,No
DDX3X,HepG2,chr4:102827444-102827525;-,400,1,2.079,ENST00000321805,ENCODE,No
