RBP,Cell & tissue typeHepG2K562,RBS location,Score,PhastCons score,PhyloP score,Transcript ID,Data accession,Overexpression Info
UPF1,K562,chr11:57552087-57552244;-,33.906,0.005,-0.106,ENST00000340573,ENCODE,No
UPF1,K562,chr11:57552087-57552244;-,33.906,0.005,-0.106,ENST00000287156,ENCODE,No
YBX3,K562,chr11:57552021-57552037;-,31.627,0,-0.118,ENST00000340573,ENCODE,No
YBX3,K562,chr11:57552021-57552037;-,31.627,0,-0.118,ENST00000287156,ENCODE,No
YBX3,K562,chr11:57552037-57552048;-,28.74,0.005,0.132,ENST00000340573,ENCODE,No
YBX3,K562,chr11:57552037-57552048;-,28.74,0.005,0.132,ENST00000287156,ENCODE,No
UPF1,K562,chr11:57552170-57552256;-,26.034,0.063,-0.034,ENST00000340573,ENCODE,No
UPF1,K562,chr11:57552170-57552256;-,26.034,0.063,-0.034,ENST00000287156,ENCODE,No
UPF1,K562,chr11:57552008-57552170;-,23.739,0.003,-0.065,ENST00000340573,ENCODE,No
UPF1,K562,chr11:57552008-57552170;-,23.739,0.003,-0.065,ENST00000287156,ENCODE,No
YBX3,K562,chr11:57552004-57552021;-,23.371,0.008,0.105,ENST00000340573,ENCODE,No
YBX3,K562,chr11:57552004-57552021;-,23.371,0.008,0.105,ENST00000287156,ENCODE,No
YBX3,K562,chr11:57551971-57552050;-,22.809,0.002,-0.146,ENST00000340573,ENCODE,No
YBX3,K562,chr11:57551971-57552050;-,22.809,0.002,-0.146,ENST00000287156,ENCODE,No
YBX3,K562,chr11:57552048-57552086;-,16.91,0.001,-0.223,ENST00000340573,ENCODE,No
YBX3,K562,chr11:57552048-57552086;-,16.91,0.001,-0.223,ENST00000287156,ENCODE,No
YBX3,K562,chr11:57552050-57552092;-,15.84,0.001,-0.196,ENST00000340573,ENCODE,No
YBX3,K562,chr11:57552050-57552092;-,15.84,0.001,-0.196,ENST00000287156,ENCODE,No
IGF2BP1,K562,chr11:57551705-57551809;-,14.199,0.043,-0.09,ENST00000340573,ENCODE,No
IGF2BP1,K562,chr11:57551705-57551809;-,14.199,0.043,-0.09,ENST00000287156,ENCODE,No
TARDBP,K562,chr11:57552121-57552228;-,13.934,0.005,-0.099,ENST00000340573,ENCODE,No
TARDBP,K562,chr11:57552121-57552228;-,13.934,0.005,-0.099,ENST00000287156,ENCODE,No
UPF1,K562,chr11:57551719-57551796;-,13.221,0.035,-0.038,ENST00000340573,ENCODE,No
UPF1,K562,chr11:57551719-57551796;-,13.221,0.035,-0.038,ENST00000287156,ENCODE,No
SUB1,HepG2,chr11:57552133-57552226;-,11.888,0.005,-0.088,ENST00000340573,ENCODE,No
SUB1,HepG2,chr11:57552133-57552226;-,11.888,0.005,-0.088,ENST00000287156,ENCODE,No
YBX3,K562,chr11:57551972-57552004;-,11.57,0,-0.345,ENST00000340573,ENCODE,No
YBX3,K562,chr11:57551972-57552004;-,11.57,0,-0.345,ENST00000287156,ENCODE,No
UPF1,K562,chr11:57551722-57551785;-,9.625,0.015,-0.039,ENST00000340573,ENCODE,No
UPF1,K562,chr11:57551722-57551785;-,9.625,0.015,-0.039,ENST00000287156,ENCODE,No
IGF2BP1,K562,chr11:57551716-57551802;-,8.735,0.05,-0.028,ENST00000340573,ENCODE,No
IGF2BP1,K562,chr11:57551716-57551802;-,8.735,0.05,-0.028,ENST00000287156,ENCODE,No
UPF1,HepG2,chr11:57552099-57552241;-,8.274,0.005,-0.099,ENST00000340573,ENCODE,No
UPF1,HepG2,chr11:57552099-57552241;-,8.274,0.005,-0.099,ENST00000287156,ENCODE,No
SND1,K562,chr11:57552203-57552242;-,6.213,0.011,-0.116,ENST00000340573,ENCODE,No
SND1,K562,chr11:57552203-57552242;-,6.213,0.011,-0.116,ENST00000287156,ENCODE,No
TARDBP,K562,chr11:57552122-57552226;-,5.991,0.005,-0.09,ENST00000340573,ENCODE,No
TARDBP,K562,chr11:57552122-57552226;-,5.991,0.005,-0.09,ENST00000287156,ENCODE,No
YBX3,K562,chr11:57551813-57551864;-,5.848,0.051,0.026,ENST00000340573,ENCODE,No
YBX3,K562,chr11:57551813-57551864;-,5.848,0.051,0.026,ENST00000287156,ENCODE,No
YBX3,K562,chr11:57551789-57551852;-,5.672,0.039,-0.131,ENST00000340573,ENCODE,No
YBX3,K562,chr11:57551789-57551852;-,5.672,0.039,-0.131,ENST00000287156,ENCODE,No
