RBP,Cell & tissue typeHepG2K562adrenal gland,RBS location,Score,PhastCons score,PhyloP score,Transcript ID,Data accession,Overexpression Info
QKI,K562,chr6:44153189-44153357;+,42.933,0.05,0.034,ENST00000259746,ENCODE,No
QKI,K562,chr6:44153189-44153357;+,42.933,0.05,0.034,ENST00000323267,ENCODE,No
QKI,K562,chr6:44153189-44153357;+,42.933,0.05,0.034,ENST00000371893,ENCODE,No
QKI,K562,chr6:44153189-44153357;+,42.933,0.05,0.034,ENST00000533121,ENCODE,No
QKI,HepG2,chr6:44153280-44153361;+,35.735,0.064,0.085,ENST00000259746,ENCODE,No
QKI,HepG2,chr6:44153280-44153361;+,35.735,0.064,0.085,ENST00000323267,ENCODE,No
QKI,HepG2,chr6:44153280-44153361;+,35.735,0.064,0.085,ENST00000371893,ENCODE,No
QKI,HepG2,chr6:44153280-44153361;+,35.735,0.064,0.085,ENST00000533121,ENCODE,No
PCBP2,HepG2,chr6:44149860-44149939;+,34.95,0.933,5.119,ENST00000259746,ENCODE,No
PCBP2,HepG2,chr6:44149860-44149939;+,34.95,0.933,5.119,ENST00000323267,ENCODE,No
PCBP2,HepG2,chr6:44149860-44149939;+,34.95,0.933,5.119,ENST00000371893,ENCODE,No
PCBP2,HepG2,chr6:44149860-44149939;+,34.95,0.933,5.119,ENST00000533121,ENCODE,No
HNRNPL,K562,chr6:44132738-44132821;+,28.39,0.001,-0.116,ENST00000259746,ENCODE,No
HNRNPL,K562,chr6:44132738-44132821;+,28.39,0.001,-0.116,ENST00000323267,ENCODE,No
HNRNPL,K562,chr6:44132738-44132821;+,28.39,0.001,-0.116,ENST00000525294,ENCODE,No
HNRNPL,K562,chr6:44132738-44132821;+,28.39,0.001,-0.116,ENST00000532634,ENCODE,No
HNRNPL,K562,chr6:44132738-44132821;+,28.39,0.001,-0.116,ENST00000534326,ENCODE,No
QKI,HepG2,chr6:44153276-44153390;+,28.248,0.046,0.077,ENST00000259746,ENCODE,No
QKI,HepG2,chr6:44153276-44153390;+,28.248,0.046,0.077,ENST00000323267,ENCODE,No
QKI,HepG2,chr6:44153276-44153390;+,28.248,0.046,0.077,ENST00000371893,ENCODE,No
QKI,HepG2,chr6:44153276-44153390;+,28.248,0.046,0.077,ENST00000533121,ENCODE,No
AQR,K562,chr6:44141005-44141008;+,27.797,0.004,0.777,ENST00000259746,ENCODE,No
AQR,K562,chr6:44141005-44141008;+,27.797,0.004,0.777,ENST00000323267,ENCODE,No
AQR,K562,chr6:44141005-44141008;+,27.797,0.004,0.777,ENST00000371893,ENCODE,No
AQR,K562,chr6:44141005-44141008;+,27.797,0.004,0.777,ENST00000497371,ENCODE,No
AQR,K562,chr6:44141005-44141008;+,27.797,0.004,0.777,ENST00000525873,ENCODE,No
AQR,K562,chr6:44141005-44141008;+,27.797,0.004,0.777,ENST00000527188,ENCODE,No
AQR,K562,chr6:44141005-44141008;+,27.797,0.004,0.777,ENST00000533121,ENCODE,No
AQR,K562,chr6:44141005-44141008;+,27.797,0.004,0.777,ENST00000534326,ENCODE,No
RBFOX2,HepG2,chr6:44155276-44155396;+,24.728,0.416,0.685,ENST00000533121,ENCODE,No
RBFOX2,HepG2,chr6:44155276-44155396;+,24.728,0.416,0.685,ENST00000323267,ENCODE,No
RBFOX2,HepG2,chr6:44155276-44155396;+,24.728,0.416,0.685,ENST00000259746,ENCODE,No
RBFOX2,HepG2,chr6:44155276-44155396;+,24.728,0.416,0.685,ENST00000371893,ENCODE,No
RBFOX2,HepG2,chr6:44155315-44155390;+,22.937,0.5,0.783,ENST00000533121,ENCODE,No
RBFOX2,HepG2,chr6:44155315-44155390;+,22.937,0.5,0.783,ENST00000323267,ENCODE,No
RBFOX2,HepG2,chr6:44155315-44155390;+,22.937,0.5,0.783,ENST00000259746,ENCODE,No
