RBP,Cell & tissue typeHepG2K562adrenal gland,RBS location,Score,PhastCons score,PhyloP score,Transcript ID,Data accession,Overexpression Info
PUM2,K562,chr17:4272218-4272349;-,400,1,5.376,ENST00000396981,ENCODE,No
PUM2,K562,chr17:4272218-4272349;-,400,1,5.376,ENST00000572484,ENCODE,No
PUM2,K562,chr17:4272235-4272330;-,400,1,5.48,ENST00000396981,ENCODE,No
PUM2,K562,chr17:4272235-4272330;-,400,1,5.48,ENST00000572484,ENCODE,No
PUM2,K562,chr17:4272235-4272330;-,400,1,5.48,ENST00000574633,ENCODE,No
PUM2,K562,chr17:4272141-4272235;-,53.231,0.99,3.867,ENST00000396981,ENCODE,No
PUM2,K562,chr17:4272141-4272235;-,53.231,0.99,3.867,ENST00000572484,ENCODE,No
DDX3X,HepG2,chr17:4366470-4366588;-,29.345,0.381,0.708,ENST00000572484,ENCODE,No
DDX3X,HepG2,chr17:4366470-4366588;-,29.345,0.381,0.708,ENST00000574633,ENCODE,No
DDX3X,HepG2,chr17:4366470-4366588;-,29.345,0.381,0.708,ENST00000571980,ENCODE,No
UPF1,K562,chr17:4270502-4270552;-,28.385,0.019,-0.003,ENST00000396981,ENCODE,No
UTP3,K562,chr17:4365350-4365378;-,26.17,0.741,1.722,ENST00000396981,ENCODE,No
UTP3,K562,chr17:4365350-4365378;-,26.17,0.741,1.722,ENST00000571980,ENCODE,No
UTP3,K562,chr17:4365350-4365378;-,26.17,0.741,1.722,ENST00000572484,ENCODE,No
UTP3,K562,chr17:4365350-4365378;-,26.17,0.741,1.722,ENST00000574633,ENCODE,No
PCBP2,HepG2,chr17:4294862-4295027;-,23.845,0.008,-0.261,ENST00000396981,ENCODE,No
PCBP2,HepG2,chr17:4294862-4295027;-,23.845,0.008,-0.261,ENST00000571953,ENCODE,No
PCBP2,HepG2,chr17:4294862-4295027;-,23.845,0.008,-0.261,ENST00000571980,ENCODE,No
PCBP2,HepG2,chr17:4294862-4295027;-,23.845,0.008,-0.261,ENST00000572484,ENCODE,No
PCBP2,HepG2,chr17:4294862-4295027;-,23.845,0.008,-0.261,ENST00000574633,ENCODE,No
PUM2,K562,chr17:4272146-4272218;-,23.185,0.987,3.502,ENST00000396981,ENCODE,No
PUM2,K562,chr17:4272146-4272218;-,23.185,0.987,3.502,ENST00000572484,ENCODE,No
UPF1,K562,chr17:4270515-4270538;-,21.678,0.022,0.096,ENST00000396981,ENCODE,No
DDX3X,K562,chr17:4366396-4366600;-,21.164,0.301,0.601,ENST00000572484,ENCODE,No
DDX3X,K562,chr17:4366396-4366600;-,21.164,0.301,0.601,ENST00000574633,ENCODE,No
DDX3X,K562,chr17:4366396-4366600;-,21.164,0.301,0.601,ENST00000571980,ENCODE,No
DDX3X,HepG2,chr17:4366380-4366470;-,20.929,0.16,0.398,ENST00000572484,ENCODE,No
DDX3X,HepG2,chr17:4366380-4366470;-,20.929,0.16,0.398,ENST00000396981,ENCODE,No
DDX3X,HepG2,chr17:4366380-4366470;-,20.929,0.16,0.398,ENST00000574633,ENCODE,No
DDX3X,HepG2,chr17:4366380-4366470;-,20.929,0.16,0.398,ENST00000571980,ENCODE,No
FUBP3,HepG2,chr17:4269289-4269380;-,18.829,0.978,2.298,ENST00000396981,ENCODE,No
UPF1,K562,chr17:4270538-4270551;-,18.811,0.022,-0.019,ENST00000396981,ENCODE,No
PCBP2,HepG2,chr17:4283689-4283787;-,17.619,0.001,-0.241,ENST00000396981,ENCODE,No
PCBP2,HepG2,chr17:4283689-4283787;-,17.619,0.001,-0.241,ENST00000571953,ENCODE,No
PCBP2,HepG2,chr17:4283689-4283787;-,17.619,0.001,-0.241,ENST00000571980,ENCODE,No
PCBP2,HepG2,chr17:4283689-4283787;-,17.619,0.001,-0.241,ENST00000572484,ENCODE,No
PCBP2,HepG2,chr17:4283689-4283787;-,17.619,0.001,-0.241,ENST00000574633,ENCODE,No
UTP3,K562,chr17:4365378-4365391;-,16.367,1,1.715,ENST00000396981,ENCODE,No
UTP3,K562,chr17:4365378-4365391;-,16.367,1,1.715,ENST00000571980,ENCODE,No
UTP3,K562,chr17:4365378-4365391;-,16.367,1,1.715,ENST00000572484,ENCODE,No
UTP3,K562,chr17:4365378-4365391;-,16.367,1,1.715,ENST00000574633,ENCODE,No
UPF1,K562,chr17:4270748-4270844;-,15.487,0.151,0.486,ENST00000396981,ENCODE,No
UPF1,K562,chr17:4270497-4270515;-,15.058,0.036,-0.04,ENST00000396981,ENCODE,No
UPF1,K562,chr17:4270750-4270841;-,14.828,0.139,0.479,ENST00000396981,ENCODE,No
NKRF,HepG2,chr17:4365860-4365945;-,14.028,0.073,-0.328,ENST00000396981,ENCODE,No
NKRF,HepG2,chr17:4365860-4365945;-,14.028,0.073,-0.328,ENST00000571980,ENCODE,No
NKRF,HepG2,chr17:4365860-4365945;-,14.028,0.073,-0.328,ENST00000572484,ENCODE,No
NKRF,HepG2,chr17:4365860-4365945;-,14.028,0.073,-0.328,ENST00000574633,ENCODE,No
DDX3X,HepG2,chr17:4366292-4366369;-,12.583,0.459,0.837,ENST00000572484,ENCODE,No
PCBP2,HepG2,chr17:4283683-4283775;-,11.749,0.001,-0.277,ENST00000396981,ENCODE,No
PCBP2,HepG2,chr17:4283683-4283775;-,11.749,0.001,-0.277,ENST00000571953,ENCODE,No
PCBP2,HepG2,chr17:4283683-4283775;-,11.749,0.001,-0.277,ENST00000571980,ENCODE,No
PCBP2,HepG2,chr17:4283683-4283775;-,11.749,0.001,-0.277,ENST00000572484,ENCODE,No
PCBP2,HepG2,chr17:4283683-4283775;-,11.749,0.001,-0.277,ENST00000574633,ENCODE,No
NKRF,HepG2,chr17:4365999-4366094;-,11.454,0.121,-0.326,ENST00000396981,ENCODE,No
NKRF,HepG2,chr17:4365999-4366094;-,11.454,0.121,-0.326,ENST00000571980,ENCODE,No
NKRF,HepG2,chr17:4365999-4366094;-,11.454,0.121,-0.326,ENST00000572484,ENCODE,No
NKRF,HepG2,chr17:4365999-4366094;-,11.454,0.121,-0.326,ENST00000574633,ENCODE,No
NKRF,HepG2,chr17:4365872-4365976;-,11.191,0.063,-0.345,ENST00000396981,ENCODE,No
NKRF,HepG2,chr17:4365872-4365976;-,11.191,0.063,-0.345,ENST00000571980,ENCODE,No
NKRF,HepG2,chr17:4365872-4365976;-,11.191,0.063,-0.345,ENST00000572484,ENCODE,No
NKRF,HepG2,chr17:4365872-4365976;-,11.191,0.063,-0.345,ENST00000574633,ENCODE,No
FAM120A,HepG2,chr17:4365984-4366094;-,10.836,0.139,-0.191,ENST00000396981,ENCODE,No
FAM120A,HepG2,chr17:4365984-4366094;-,10.836,0.139,-0.191,ENST00000571980,ENCODE,No
FAM120A,HepG2,chr17:4365984-4366094;-,10.836,0.139,-0.191,ENST00000572484,ENCODE,No
FAM120A,HepG2,chr17:4365984-4366094;-,10.836,0.139,-0.191,ENST00000574633,ENCODE,No
DDX3X,K562,chr17:4366303-4366396;-,10.343,0.356,0.686,ENST00000572484,ENCODE,No
UTP3,K562,chr17:4304767-4304774;-,10.053,0,-0.309,ENST00000396981,ENCODE,No
UTP3,K562,chr17:4304767-4304774;-,10.053,0,-0.309,ENST00000571953,ENCODE,No
UTP3,K562,chr17:4304767-4304774;-,10.053,0,-0.309,ENST00000571980,ENCODE,No
