RBP,Cell & tissue typeHepG2K562adrenal gland,RBS location,Score,PhastCons score,PhyloP score,Transcript ID,Data accession,Overexpression Info
PUM2,K562,chr5:134390526-134390638;+,400,1,5.151,ENST00000265339,ENCODE,No
PUM2,K562,chr5:134390638-134390733;+,59.979,1,4.336,ENST00000265339,ENCODE,No
PUM2,K562,chr5:134390506-134390607;+,47.078,1,5.247,ENST00000265339,ENCODE,No
KHSRP,K562,chr5:134390519-134390545;+,37.567,1,5.894,ENST00000507277,ENCODE,No
KHSRP,K562,chr5:134390519-134390545;+,37.567,1,5.894,ENST00000265339,ENCODE,No
KHSRP,K562,chr5:134390545-134390640;+,37.271,1,4.888,ENST00000265339,ENCODE,No
PABPC4,K562,chr5:134390476-134390521;+,29.294,0.998,3.529,ENST00000507277,ENCODE,No
PABPC4,K562,chr5:134390476-134390521;+,29.294,0.998,3.529,ENST00000265339,ENCODE,No
U2AF2,K562,chr5:134390244-134390296;+,26.576,0.989,6.453,ENST00000265339,ENCODE,No
U2AF2,K562,chr5:134390244-134390296;+,26.576,0.989,6.453,ENST00000507277,ENCODE,No
KHSRP,K562,chr5:134390458-134390519;+,22.898,0.985,3.19,ENST00000507277,ENCODE,No
KHSRP,K562,chr5:134390458-134390519;+,22.898,0.985,3.19,ENST00000265339,ENCODE,No
NCBP2,K562,chr5:134371561-134371574;+,22.476,0.998,1.823,ENST00000265339,ENCODE,No
NCBP2,K562,chr5:134371561-134371574;+,22.476,0.998,1.823,ENST00000510021,ENCODE,No
KHSRP,K562,chr5:134390519-134390542;+,21.422,1,5.842,ENST00000507277,ENCODE,No
KHSRP,K562,chr5:134390519-134390542;+,21.422,1,5.842,ENST00000265339,ENCODE,No
KHSRP,K562,chr5:134390542-134390582;+,21.286,1,5.764,ENST00000265339,ENCODE,No
FUBP3,HepG2,chr5:134390524-134390579;+,21.056,1,5.923,ENST00000265339,ENCODE,No
YBX3,K562,chr5:134388390-134388413;+,20.775,0.999,6.17,ENST00000265339,ENCODE,No
YBX3,K562,chr5:134388390-134388413;+,20.775,0.999,6.17,ENST00000506787,ENCODE,No
YBX3,K562,chr5:134388390-134388413;+,20.775,0.999,6.17,ENST00000507277,ENCODE,No
FUBP3,HepG2,chr5:134390577-134390648;+,19.731,1,4.575,ENST00000265339,ENCODE,No
FUBP3,HepG2,chr5:134390579-134390649;+,19.713,1,4.546,ENST00000265339,ENCODE,No
SUB1,HepG2,chr5:134390584-134390638;+,18.555,1,4.328,ENST00000265339,ENCODE,No
TIA1,K562,chr5:134390701-134390743;+,16.52,1,4.425,ENST00000265339,ENCODE,No
NCBP2,K562,chr5:134371560-134371579;+,16.271,0.999,1.699,ENST00000265339,ENCODE,No
NCBP2,K562,chr5:134371560-134371579;+,16.271,0.999,1.699,ENST00000510021,ENCODE,No
YBX3,K562,chr5:134388392-134388413;+,16.01,1,6.37,ENST00000265339,ENCODE,No
YBX3,K562,chr5:134388392-134388413;+,16.01,1,6.37,ENST00000506787,ENCODE,No
YBX3,K562,chr5:134388392-134388413;+,16.01,1,6.37,ENST00000507277,ENCODE,No
SUB1,HepG2,chr5:134390523-134390653;+,15.523,1,5.154,ENST00000265339,ENCODE,No
DDX6,K562,chr5:134390576-134390643;+,13.593,1,4.487,ENST00000265339,ENCODE,No
KHSRP,K562,chr5:134385044-134385074;+,12.66,0.001,0.098,ENST00000265339,ENCODE,No
KHSRP,K562,chr5:134385044-134385074;+,12.66,0.001,0.098,ENST00000506787,ENCODE,No
KHSRP,K562,chr5:134385044-134385074;+,12.66,0.001,0.098,ENST00000507277,ENCODE,No
KHSRP,K562,chr5:134385044-134385074;+,12.66,0.001,0.098,ENST00000510021,ENCODE,No
KHSRP,K562,chr5:134385044-134385074;+,12.66,0.001,0.098,ENST00000511807,ENCODE,No
ILF3,HepG2,chr5:134378445-134378523;+,12.554,0.044,0.028,ENST00000265339,ENCODE,No
ILF3,HepG2,chr5:134378445-134378523;+,12.554,0.044,0.028,ENST00000506787,ENCODE,No
ILF3,HepG2,chr5:134378445-134378523;+,12.554,0.044,0.028,ENST00000507277,ENCODE,No
ILF3,HepG2,chr5:134378445-134378523;+,12.554,0.044,0.028,ENST00000510021,ENCODE,No
ILF3,HepG2,chr5:134378445-134378523;+,12.554,0.044,0.028,ENST00000511807,ENCODE,No
IGF2BP1,K562,chr5:134390354-134390478;+,12.402,0.951,2.914,ENST00000507277,ENCODE,No
IGF2BP1,K562,chr5:134390354-134390478;+,12.402,0.951,2.914,ENST00000265339,ENCODE,No
KHSRP,K562,chr5:134389255-134389386;+,11.842,0.126,0.104,ENST00000265339,ENCODE,No
KHSRP,K562,chr5:134389255-134389386;+,11.842,0.126,0.104,ENST00000499038,ENCODE,No
KHSRP,K562,chr5:134389255-134389386;+,11.842,0.126,0.104,ENST00000503080,ENCODE,No
KHSRP,K562,chr5:134389255-134389386;+,11.842,0.126,0.104,ENST00000506787,ENCODE,No
KHSRP,K562,chr5:134389255-134389386;+,11.842,0.126,0.104,ENST00000507277,ENCODE,No
KHSRP,K562,chr5:134389255-134389386;+,11.842,0.126,0.104,ENST00000510021,ENCODE,No
KHSRP,K562,chr5:134389255-134389386;+,11.842,0.126,0.104,ENST00000511807,ENCODE,No
KHSRP,K562,chr5:134385074-134385122;+,11.376,0.208,0.219,ENST00000265339,ENCODE,No
KHSRP,K562,chr5:134385074-134385122;+,11.376,0.208,0.219,ENST00000506787,ENCODE,No
KHSRP,K562,chr5:134385074-134385122;+,11.376,0.208,0.219,ENST00000507277,ENCODE,No
KHSRP,K562,chr5:134385074-134385122;+,11.376,0.208,0.219,ENST00000510021,ENCODE,No
