RBP,Cell & tissue typeHepG2K562,RBS location,Score,PhastCons score,PhyloP score,Transcript ID,Data accession,Overexpression Info
UPF1,HepG2,chr19:541678-541811;+,400,0.002,-0.562,ENST00000606065,ENCODE,No
UPF1,HepG2,chr19:541678-541811;+,400,0.002,-0.562,ENST00000586283,ENCODE,No
UPF1,HepG2,chr19:541678-541811;+,400,0.002,-0.562,ENST00000215574,ENCODE,No
UPF1,HepG2,chr19:541676-541817;+,87.877,0.002,-0.547,ENST00000606065,ENCODE,No
UPF1,HepG2,chr19:541676-541817;+,87.877,0.002,-0.547,ENST00000586283,ENCODE,No
UPF1,HepG2,chr19:541676-541817;+,87.877,0.002,-0.547,ENST00000215574,ENCODE,No
UPF1,HepG2,chr19:541811-541899;+,66.481,0.004,-0.563,ENST00000606065,ENCODE,No
UPF1,HepG2,chr19:541811-541899;+,66.481,0.004,-0.563,ENST00000586283,ENCODE,No
UPF1,HepG2,chr19:541811-541899;+,66.481,0.004,-0.563,ENST00000215574,ENCODE,No
AKAP1,HepG2,chr19:541669-541767;+,62.306,0.003,-0.58,ENST00000606065,ENCODE,No
AKAP1,HepG2,chr19:541669-541767;+,62.306,0.003,-0.58,ENST00000586283,ENCODE,No
AKAP1,HepG2,chr19:541669-541767;+,62.306,0.003,-0.58,ENST00000215574,ENCODE,No
LARP4,HepG2,chr19:541671-541821;+,59.89,0.002,-0.539,ENST00000606065,ENCODE,No
LARP4,HepG2,chr19:541671-541821;+,59.89,0.002,-0.539,ENST00000586283,ENCODE,No
LARP4,HepG2,chr19:541671-541821;+,59.89,0.002,-0.539,ENST00000215574,ENCODE,No
DDX3X,HepG2,chr19:531745-531814;+,58.198,0.171,-0.226,ENST00000215574,ENCODE,No
AKAP1,HepG2,chr19:541671-541762;+,53.075,0.003,-0.538,ENST00000606065,ENCODE,No
AKAP1,HepG2,chr19:541671-541762;+,53.075,0.003,-0.538,ENST00000586283,ENCODE,No
AKAP1,HepG2,chr19:541671-541762;+,53.075,0.003,-0.538,ENST00000215574,ENCODE,No
UPF1,HepG2,chr19:541817-541903;+,52.346,0.004,-0.586,ENST00000606065,ENCODE,No
UPF1,HepG2,chr19:541817-541903;+,52.346,0.004,-0.586,ENST00000586283,ENCODE,No
UPF1,HepG2,chr19:541817-541903;+,52.346,0.004,-0.586,ENST00000215574,ENCODE,No
DDX3X,HepG2,chr19:531814-531864;+,48.057,0.014,-0.264,ENST00000215574,ENCODE,No
UPF1,HepG2,chr19:541899-541988;+,44.028,0.06,-0.556,ENST00000606065,ENCODE,No
UPF1,HepG2,chr19:541899-541988;+,44.028,0.06,-0.556,ENST00000586283,ENCODE,No
UPF1,HepG2,chr19:541899-541988;+,44.028,0.06,-0.556,ENST00000215574,ENCODE,No
UPF1,HepG2,chr19:541903-541987;+,39.441,0.064,-0.551,ENST00000606065,ENCODE,No
UPF1,HepG2,chr19:541903-541987;+,39.441,0.064,-0.551,ENST00000586283,ENCODE,No
UPF1,HepG2,chr19:541903-541987;+,39.441,0.064,-0.551,ENST00000215574,ENCODE,No
DDX3X,HepG2,chr19:531952-532010;+,36.836,0.973,3.467,ENST00000215574,ENCODE,No
DDX3X,K562,chr19:531740-531929;+,35.75,0.071,-0.289,ENST00000215574,ENCODE,No
DDX3X,HepG2,chr19:531814-531872;+,34.58,0.013,-0.245,ENST00000215574,ENCODE,No
DDX55,HepG2,chr19:541670-541760;+,34.348,0.003,-0.451,ENST00000606065,ENCODE,No
DDX55,HepG2,chr19:541670-541760;+,34.348,0.003,-0.451,ENST00000586283,ENCODE,No
DDX55,HepG2,chr19:541670-541760;+,34.348,0.003,-0.451,ENST00000215574,ENCODE,No
DDX55,HepG2,chr19:541668-541794;+,33.968,0.003,-0.556,ENST00000606065,ENCODE,No
DDX55,HepG2,chr19:541668-541794;+,33.968,0.003,-0.556,ENST00000586283,ENCODE,No
DDX55,HepG2,chr19:541668-541794;+,33.968,0.003,-0.556,ENST00000215574,ENCODE,No
PABPC4,K562,chr19:541670-541762;+,33.261,0.003,-0.536,ENST00000606065,ENCODE,No
PABPC4,K562,chr19:541670-541762;+,33.261,0.003,-0.536,ENST00000586283,ENCODE,No
PABPC4,K562,chr19:541670-541762;+,33.261,0.003,-0.536,ENST00000215574,ENCODE,No
UPF1,K562,chr19:541877-542009;+,30.174,0.047,-0.48,ENST00000606065,ENCODE,No
UPF1,K562,chr19:541877-542009;+,30.174,0.047,-0.48,ENST00000586283,ENCODE,No
UPF1,K562,chr19:541877-542009;+,30.174,0.047,-0.48,ENST00000215574,ENCODE,No
AKAP1,HepG2,chr19:541907-541992;+,27.651,0.063,-0.572,ENST00000606065,ENCODE,No
AKAP1,HepG2,chr19:541907-541992;+,27.651,0.063,-0.572,ENST00000586283,ENCODE,No
AKAP1,HepG2,chr19:541907-541992;+,27.651,0.063,-0.572,ENST00000215574,ENCODE,No
AKAP1,HepG2,chr19:541816-541898;+,27.116,0.004,-0.589,ENST00000606065,ENCODE,No
AKAP1,HepG2,chr19:541816-541898;+,27.116,0.004,-0.589,ENST00000586283,ENCODE,No
AKAP1,HepG2,chr19:541816-541898;+,27.116,0.004,-0.589,ENST00000215574,ENCODE,No
AKAP1,HepG2,chr19:541898-541993;+,26.475,0.064,-0.533,ENST00000606065,ENCODE,No
AKAP1,HepG2,chr19:541898-541993;+,26.475,0.064,-0.533,ENST00000586283,ENCODE,No
AKAP1,HepG2,chr19:541898-541993;+,26.475,0.064,-0.533,ENST00000215574,ENCODE,No
UPF1,K562,chr19:541661-541743;+,24.875,0.003,-0.333,ENST00000606065,ENCODE,No
UPF1,K562,chr19:541661-541743;+,24.875,0.003,-0.333,ENST00000586283,ENCODE,No
UPF1,K562,chr19:541661-541743;+,24.875,0.003,-0.333,ENST00000215574,ENCODE,No
AKAP1,HepG2,chr19:541816-541888;+,23.202,0.004,-0.598,ENST00000606065,ENCODE,No
AKAP1,HepG2,chr19:541816-541888;+,23.202,0.004,-0.598,ENST00000586283,ENCODE,No
AKAP1,HepG2,chr19:541816-541888;+,23.202,0.004,-0.598,ENST00000215574,ENCODE,No
PRPF8,HepG2,chr19:532087-532099;+,22.828,0.85,4.311,ENST00000215574,ENCODE,No
PRPF8,HepG2,chr19:532087-532099;+,22.828,0.85,4.311,ENST00000586283,ENCODE,No
LARP4,HepG2,chr19:541673-541764;+,22.353,0.003,-0.583,ENST00000606065,ENCODE,No
LARP4,HepG2,chr19:541673-541764;+,22.353,0.003,-0.583,ENST00000586283,ENCODE,No
LARP4,HepG2,chr19:541673-541764;+,22.353,0.003,-0.583,ENST00000215574,ENCODE,No
AKAP1,HepG2,chr19:541767-541816;+,21.799,0,-0.456,ENST00000606065,ENCODE,No
AKAP1,HepG2,chr19:541767-541816;+,21.799,0,-0.456,ENST00000586283,ENCODE,No
AKAP1,HepG2,chr19:541767-541816;+,21.799,0,-0.456,ENST00000215574,ENCODE,No
DDX3X,HepG2,chr19:531763-531814;+,21.611,0.112,-0.288,ENST00000215574,ENCODE,No
AKAP1,HepG2,chr19:541762-541816;+,20.755,0,-0.58,ENST00000606065,ENCODE,No
AKAP1,HepG2,chr19:541762-541816;+,20.755,0,-0.58,ENST00000586283,ENCODE,No
AKAP1,HepG2,chr19:541762-541816;+,20.755,0,-0.58,ENST00000215574,ENCODE,No
PRPF8,K562,chr19:532131-532149;+,18.976,0,-0.972,ENST00000215574,ENCODE,No
PRPF8,K562,chr19:532131-532149;+,18.976,0,-0.972,ENST00000586283,ENCODE,No
PRPF8,K562,chr19:532131-532149;+,18.976,0,-0.972,ENST00000586788,ENCODE,No
PRPF8,K562,chr19:532131-532149;+,18.976,0,-0.972,ENST00000607527,ENCODE,No
PABPC4,K562,chr19:541906-541990;+,18.944,0.064,-0.549,ENST00000606065,ENCODE,No
PABPC4,K562,chr19:541906-541990;+,18.944,0.064,-0.549,ENST00000586283,ENCODE,No
PABPC4,K562,chr19:541906-541990;+,18.944,0.064,-0.549,ENST00000215574,ENCODE,No
