RBP,Cell & tissue typeHepG2K562adrenal gland,RBS location,Score,PhastCons score,PhyloP score,Transcript ID,Data accession,Overexpression Info
PCBP2,HepG2,chr2:180980873-180980970;+,37.267,0.139,0.285,ENST00000410062,ENCODE,No
PCBP2,HepG2,chr2:180980873-180980970;+,37.267,0.139,0.285,ENST00000602475,ENCODE,No
PTBP1,K562,chr2:181021646-181021713;+,30.302,0.132,0.097,ENST00000392415,ENCODE,No
PTBP1,K562,chr2:181021646-181021713;+,30.302,0.132,0.097,ENST00000410062,ENCODE,No
PTBP1,K562,chr2:181021646-181021713;+,30.302,0.132,0.097,ENST00000602291,ENCODE,No
PTBP1,K562,chr2:181021646-181021713;+,30.302,0.132,0.097,ENST00000602303,ENCODE,No
PTBP1,K562,chr2:181021646-181021713;+,30.302,0.132,0.097,ENST00000602479,ENCODE,No
PTBP1,K562,chr2:181021646-181021713;+,30.302,0.132,0.097,ENST00000602499,ENCODE,No
PTBP1,K562,chr2:181021646-181021713;+,30.302,0.132,0.097,ENST00000602710,ENCODE,No
PTBP1,K562,chr2:181021646-181021713;+,30.302,0.132,0.097,ENST00000602762,ENCODE,No
PTBP1,K562,chr2:181021646-181021713;+,30.302,0.132,0.097,ENST00000602888,ENCODE,No
PTBP1,K562,chr2:181021646-181021713;+,30.302,0.132,0.097,ENST00000602959,ENCODE,No
ILF3,K562,chr2:181021649-181021771;+,26.729,0.062,0.051,ENST00000392415,ENCODE,No
ILF3,K562,chr2:181021649-181021771;+,26.729,0.062,0.051,ENST00000410062,ENCODE,No
ILF3,K562,chr2:181021649-181021771;+,26.729,0.062,0.051,ENST00000602291,ENCODE,No
ILF3,K562,chr2:181021649-181021771;+,26.729,0.062,0.051,ENST00000602303,ENCODE,No
ILF3,K562,chr2:181021649-181021771;+,26.729,0.062,0.051,ENST00000602479,ENCODE,No
ILF3,K562,chr2:181021649-181021771;+,26.729,0.062,0.051,ENST00000602499,ENCODE,No
ILF3,K562,chr2:181021649-181021771;+,26.729,0.062,0.051,ENST00000602710,ENCODE,No
ILF3,K562,chr2:181021649-181021771;+,26.729,0.062,0.051,ENST00000602762,ENCODE,No
ILF3,K562,chr2:181021649-181021771;+,26.729,0.062,0.051,ENST00000602888,ENCODE,No
ILF3,K562,chr2:181021649-181021771;+,26.729,0.062,0.051,ENST00000602959,ENCODE,No
PABPC4,K562,chr2:181063340-181063402;+,25.088,1,4.824,ENST00000392415,ENCODE,No
PABPC4,K562,chr2:181063340-181063402;+,25.088,1,4.824,ENST00000410062,ENCODE,No
PABPC4,K562,chr2:181063340-181063402;+,25.088,1,4.824,ENST00000602710,ENCODE,No
PCBP2,HepG2,chr2:181021645-181021705;+,23.845,0.162,0.089,ENST00000392415,ENCODE,No
PCBP2,HepG2,chr2:181021645-181021705;+,23.845,0.162,0.089,ENST00000410062,ENCODE,No
PCBP2,HepG2,chr2:181021645-181021705;+,23.845,0.162,0.089,ENST00000602291,ENCODE,No
PCBP2,HepG2,chr2:181021645-181021705;+,23.845,0.162,0.089,ENST00000602303,ENCODE,No
PCBP2,HepG2,chr2:181021645-181021705;+,23.845,0.162,0.089,ENST00000602479,ENCODE,No
PCBP2,HepG2,chr2:181021645-181021705;+,23.845,0.162,0.089,ENST00000602499,ENCODE,No
PCBP2,HepG2,chr2:181021645-181021705;+,23.845,0.162,0.089,ENST00000602710,ENCODE,No
PCBP2,HepG2,chr2:181021645-181021705;+,23.845,0.162,0.089,ENST00000602762,ENCODE,No
PCBP2,HepG2,chr2:181021645-181021705;+,23.845,0.162,0.089,ENST00000602888,ENCODE,No
PCBP2,HepG2,chr2:181021645-181021705;+,23.845,0.162,0.089,ENST00000602959,ENCODE,No
DDX3X,HepG2,chr2:180980666-180980739;+,23.758,0.145,0.267,ENST00000410062,ENCODE,No
PTBP1,K562,chr2:181021649-181021707;+,21.444,0.11,0.057,ENST00000392415,ENCODE,No
PTBP1,K562,chr2:181021649-181021707;+,21.444,0.11,0.057,ENST00000410062,ENCODE,No
PTBP1,K562,chr2:181021649-181021707;+,21.444,0.11,0.057,ENST00000602291,ENCODE,No
PTBP1,K562,chr2:181021649-181021707;+,21.444,0.11,0.057,ENST00000602303,ENCODE,No
PTBP1,K562,chr2:181021649-181021707;+,21.444,0.11,0.057,ENST00000602479,ENCODE,No
PTBP1,K562,chr2:181021649-181021707;+,21.444,0.11,0.057,ENST00000602499,ENCODE,No
PTBP1,K562,chr2:181021649-181021707;+,21.444,0.11,0.057,ENST00000602710,ENCODE,No
PTBP1,K562,chr2:181021649-181021707;+,21.444,0.11,0.057,ENST00000602762,ENCODE,No
PTBP1,K562,chr2:181021649-181021707;+,21.444,0.11,0.057,ENST00000602888,ENCODE,No
PTBP1,K562,chr2:181021649-181021707;+,21.444,0.11,0.057,ENST00000602959,ENCODE,No
PTBP1,HepG2,chr2:181021627-181021701;+,20.312,0.315,0.195,ENST00000392415,ENCODE,No
PTBP1,HepG2,chr2:181021627-181021701;+,20.312,0.315,0.195,ENST00000410062,ENCODE,No
PTBP1,HepG2,chr2:181021627-181021701;+,20.312,0.315,0.195,ENST00000602291,ENCODE,No
PTBP1,HepG2,chr2:181021627-181021701;+,20.312,0.315,0.195,ENST00000602303,ENCODE,No
PTBP1,HepG2,chr2:181021627-181021701;+,20.312,0.315,0.195,ENST00000602479,ENCODE,No
PTBP1,HepG2,chr2:181021627-181021701;+,20.312,0.315,0.195,ENST00000602499,ENCODE,No
PTBP1,HepG2,chr2:181021627-181021701;+,20.312,0.315,0.195,ENST00000602710,ENCODE,No
PTBP1,HepG2,chr2:181021627-181021701;+,20.312,0.315,0.195,ENST00000602762,ENCODE,No
PTBP1,HepG2,chr2:181021627-181021701;+,20.312,0.315,0.195,ENST00000602888,ENCODE,No
PTBP1,HepG2,chr2:181021627-181021701;+,20.312,0.315,0.195,ENST00000602959,ENCODE,No
YBX3,K562,chr2:181060667-181060678;+,17.683,0.909,6.004,ENST00000602291,ENCODE,No
YBX3,K562,chr2:181060667-181060678;+,17.683,0.909,6.004,ENST00000602479,ENCODE,No
YBX3,K562,chr2:181060667-181060678;+,17.683,0.909,6.004,ENST00000392415,ENCODE,No
YBX3,K562,chr2:181060667-181060678;+,17.683,0.909,6.004,ENST00000410062,ENCODE,No
YBX3,K562,chr2:181060667-181060678;+,17.683,0.909,6.004,ENST00000602303,ENCODE,No
YBX3,K562,chr2:181060667-181060678;+,17.683,0.909,6.004,ENST00000602710,ENCODE,No
YBX3,K562,chr2:181060667-181060678;+,17.683,0.909,6.004,ENST00000602959,ENCODE,No
ILF3,K562,chr2:181021645-181021783;+,17.325,0.079,0.063,ENST00000392415,ENCODE,No
ILF3,K562,chr2:181021645-181021783;+,17.325,0.079,0.063,ENST00000410062,ENCODE,No
ILF3,K562,chr2:181021645-181021783;+,17.325,0.079,0.063,ENST00000602291,ENCODE,No
ILF3,K562,chr2:181021645-181021783;+,17.325,0.079,0.063,ENST00000602303,ENCODE,No
ILF3,K562,chr2:181021645-181021783;+,17.325,0.079,0.063,ENST00000602479,ENCODE,No
ILF3,K562,chr2:181021645-181021783;+,17.325,0.079,0.063,ENST00000602499,ENCODE,No
ILF3,K562,chr2:181021645-181021783;+,17.325,0.079,0.063,ENST00000602710,ENCODE,No
ILF3,K562,chr2:181021645-181021783;+,17.325,0.079,0.063,ENST00000602762,ENCODE,No
ILF3,K562,chr2:181021645-181021783;+,17.325,0.079,0.063,ENST00000602888,ENCODE,No
ILF3,K562,chr2:181021645-181021783;+,17.325,0.079,0.063,ENST00000602959,ENCODE,No
PCBP2,HepG2,chr2:181021705-181021757;+,16.346,0.019,0.134,ENST00000392415,ENCODE,No
PCBP2,HepG2,chr2:181021705-181021757;+,16.346,0.019,0.134,ENST00000410062,ENCODE,No
PCBP2,HepG2,chr2:181021705-181021757;+,16.346,0.019,0.134,ENST00000602291,ENCODE,No
PCBP2,HepG2,chr2:181021705-181021757;+,16.346,0.019,0.134,ENST00000602303,ENCODE,No
PCBP2,HepG2,chr2:181021705-181021757;+,16.346,0.019,0.134,ENST00000602479,ENCODE,No
PCBP2,HepG2,chr2:181021705-181021757;+,16.346,0.019,0.134,ENST00000602499,ENCODE,No
PCBP2,HepG2,chr2:181021705-181021757;+,16.346,0.019,0.134,ENST00000602710,ENCODE,No
PCBP2,HepG2,chr2:181021705-181021757;+,16.346,0.019,0.134,ENST00000602762,ENCODE,No
PCBP2,HepG2,chr2:181021705-181021757;+,16.346,0.019,0.134,ENST00000602888,ENCODE,No
PCBP2,HepG2,chr2:181021705-181021757;+,16.346,0.019,0.134,ENST00000602959,ENCODE,No
DDX3X,HepG2,chr2:180980612-180980666;+,16.01,0.359,0.466,ENST00000410062,ENCODE,No
KHSRP,K562,chr2:181031278-181031366;+,15.956,0.03,-0.147,ENST00000392415,ENCODE,No
KHSRP,K562,chr2:181031278-181031366;+,15.956,0.03,-0.147,ENST00000410062,ENCODE,No
KHSRP,K562,chr2:181031278-181031366;+,15.956,0.03,-0.147,ENST00000602291,ENCODE,No
KHSRP,K562,chr2:181031278-181031366;+,15.956,0.03,-0.147,ENST00000602303,ENCODE,No
KHSRP,K562,chr2:181031278-181031366;+,15.956,0.03,-0.147,ENST00000602479,ENCODE,No
KHSRP,K562,chr2:181031278-181031366;+,15.956,0.03,-0.147,ENST00000602499,ENCODE,No
KHSRP,K562,chr2:181031278-181031366;+,15.956,0.03,-0.147,ENST00000602710,ENCODE,No
KHSRP,K562,chr2:181031278-181031366;+,15.956,0.03,-0.147,ENST00000602762,ENCODE,No
KHSRP,K562,chr2:181031278-181031366;+,15.956,0.03,-0.147,ENST00000602888,ENCODE,No
KHSRP,K562,chr2:181031278-181031366;+,15.956,0.03,-0.147,ENST00000602959,ENCODE,No
