RBP,Cell & tissue typeHepG2K562,RBS location,Score,PhastCons score,PhyloP score,Transcript ID,Data accession,Overexpression Info
YBX3,K562,chr1:161156949-161157017;+,21.808,0.975,5.218,ENST00000368003,ENCODE,No
PABPC4,K562,chr1:161158663-161158776;+,16.673,0.058,0.365,ENST00000368003,ENCODE,No
YBX3,K562,chr1:161156963-161156992;+,16.264,0.945,5.101,ENST00000368003,ENCODE,No
YBX3,K562,chr1:161157253-161157282;+,13.387,1,4.705,ENST00000368003,ENCODE,No
PABPC4,K562,chr1:161158726-161158774;+,10.378,0.012,0.209,ENST00000368003,ENCODE,No
YBX3,K562,chr1:161156949-161156963;+,9.78,0.999,5.788,ENST00000368003,ENCODE,No
DDX55,K562,chr1:161158497-161158568;+,9.638,0.257,0.286,ENST00000368003,ENCODE,No
YBX3,K562,chr1:161157253-161157267;+,8.655,1,4.494,ENST00000368003,ENCODE,No
YBX3,K562,chr1:161157282-161157317;+,8.208,0.926,4.136,ENST00000368003,ENCODE,No
YBX3,K562,chr1:161158411-161158429;+,8.061,0.867,4.893,ENST00000368003,ENCODE,No
PUM2,K562,chr1:161158120-161158172;+,7.34,0.964,5.354,ENST00000368003,ENCODE,No
IGF2BP2,K562,chr1:161158190-161158211;+,7.33,0.97,5.701,ENST00000368003,ENCODE,No
YBX3,K562,chr1:161154099-161154120;+,7.145,0.898,4.317,ENST00000368003,ENCODE,No
PABPC4,K562,chr1:161157638-161157684;+,6.917,0.979,4.966,ENST00000368003,ENCODE,No
METAP2,K562,chr1:161158666-161158782;+,6.702,0.057,0.33,ENST00000368003,ENCODE,No
IGF2BP1,K562,chr1:161158630-161158681;+,6.573,0.002,-0.099,ENST00000368003,ENCODE,No
SUB1,HepG2,chr1:161158704-161158756;+,6.52,0.037,0.275,ENST00000368003,ENCODE,No
YBX3,K562,chr1:161158411-161158433;+,5.883,0.891,5.078,ENST00000368003,ENCODE,No
YBX3,K562,chr1:161154097-161154120;+,5.456,0.907,4.421,ENST00000368003,ENCODE,No
SUB1,HepG2,chr1:161158798-161158840;+,5.408,0.4,1.067,ENST00000368003,ENCODE,No
LIN28B,K562,chr1:161158712-161158848;+,5.155,0.237,0.6,ENST00000368003,ENCODE,No
PUM2,K562,chr1:161158120-161158141;+,4.734,1,5.558,ENST00000368003,ENCODE,No
PABPC4,K562,chr1:161158120-161158142;+,4.372,0.954,5.219,ENST00000368003,ENCODE,No
RPS3,K562,chr1:161154025-161154099;+,3.844,0.966,4.514,ENST00000368003,ENCODE,No
BCLAF1,HepG2,chr1:161157616-161157693;+,3.823,0.958,4.843,ENST00000368003,ENCODE,No
YBX3,K562,chr1:161158436-161158452;+,3.738,0.931,3.979,ENST00000368003,ENCODE,No
SUB1,HepG2,chr1:161156957-161157000;+,3.641,0.963,5.28,ENST00000368003,ENCODE,No
IGF2BP3,HepG2,chr1:161158572-161158664;+,3.561,0.177,0.019,ENST00000368003,ENCODE,No
LIN28B,K562,chr1:161154013-161154107;+,3.304,0.946,4.361,ENST00000368003,ENCODE,No
IGF2BP2,K562,chr1:161158147-161158190;+,3.106,0.957,4.969,ENST00000368003,ENCODE,No
IGF2BP1,K562,chr1:161158140-161158171;+,3.08,0.967,5.416,ENST00000368003,ENCODE,No
METAP2,K562,chr1:161156949-161156979;+,3.072,0.964,5.13,ENST00000368003,ENCODE,No
