RBP,Cell & tissue typeHepG2K562adrenal gland,RBS location,Score,PhastCons score,PhyloP score,Transcript ID,Data accession,Overexpression Info
UPF1,K562,chr7:129832352-129832449;-,77.786,0.003,-0.09,ENST00000355621,ENCODE,No
UPF1,K562,chr7:129832449-129832518;-,63.958,0.007,-0.318,ENST00000355621,ENCODE,No
UPF1,K562,chr7:129832433-129832504;-,60.203,0.006,-0.379,ENST00000355621,ENCODE,No
UPF1,K562,chr7:129832333-129832433;-,59.45,0.003,-0.063,ENST00000355621,ENCODE,No
UPF1,K562,chr7:129833917-129834019;-,43.586,0.246,0.666,ENST00000355621,ENCODE,No
TARDBP,K562,chr7:129832392-129832463;-,42.85,0.006,-0.082,ENST00000355621,ENCODE,No
PTBP1,HepG2,chr7:129850806-129850904;-,40.294,0.004,-0.257,ENST00000355621,ENCODE,No
PTBP1,HepG2,chr7:129850806-129850904;-,40.294,0.004,-0.257,ENST00000472396,ENCODE,No
PTBP1,HepG2,chr7:129850806-129850904;-,40.294,0.004,-0.257,ENST00000473814,ENCODE,No
PTBP1,HepG2,chr7:129850806-129850904;-,40.294,0.004,-0.257,ENST00000480245,ENCODE,No
PTBP1,HepG2,chr7:129850806-129850904;-,40.294,0.004,-0.257,ENST00000496698,ENCODE,No
DKC1,HepG2,chr7:129832390-129832506;-,36.575,0.006,-0.218,ENST00000355621,ENCODE,No
UPF1,K562,chr7:129833907-129833976;-,34.428,0.118,0.539,ENST00000355621,ENCODE,No
UPF1,K562,chr7:129833976-129834030;-,31.993,0.315,0.578,ENST00000355621,ENCODE,No
UTP3,K562,chr7:129893427-129893461;-,30.345,0.029,0.116,ENST00000355621,ENCODE,No
UTP3,K562,chr7:129893427-129893461;-,30.345,0.029,0.116,ENST00000472396,ENCODE,No
UTP3,K562,chr7:129893427-129893461;-,30.345,0.029,0.116,ENST00000473814,ENCODE,No
UTP3,K562,chr7:129893427-129893461;-,30.345,0.029,0.116,ENST00000480245,ENCODE,No
UTP3,K562,chr7:129893427-129893461;-,30.345,0.029,0.116,ENST00000490974,ENCODE,No
UTP3,K562,chr7:129893427-129893461;-,30.345,0.029,0.116,ENST00000496698,ENCODE,No
TARDBP,K562,chr7:129832463-129832504;-,29.518,0.005,-0.478,ENST00000355621,ENCODE,No
EIF4G2,K562,chr7:129832390-129832502;-,27.648,0.006,-0.212,ENST00000355621,ENCODE,No
PCBP2,HepG2,chr7:129830815-129830900;-,27.026,0.845,2.147,ENST00000355621,ENCODE,No
TARDBP,K562,chr7:129832387-129832503;-,26.799,0.006,-0.207,ENST00000355621,ENCODE,No
PTBP1,HepG2,chr7:129837373-129837494;-,26.213,0.003,-0.113,ENST00000355621,ENCODE,No
PTBP1,HepG2,chr7:129837373-129837494;-,26.213,0.003,-0.113,ENST00000473814,ENCODE,No
PTBP1,HepG2,chr7:129837373-129837494;-,26.213,0.003,-0.113,ENST00000483368,ENCODE,No
PTBP1,HepG2,chr7:129837373-129837494;-,26.213,0.003,-0.113,ENST00000496698,ENCODE,No
HNRNPM,HepG2,chr7:129949588-129949648;-,24.658,0.896,1.747,ENST00000355621,ENCODE,No
HNRNPM,HepG2,chr7:129949588-129949648;-,24.658,0.896,1.747,ENST00000472396,ENCODE,No
HNRNPM,HepG2,chr7:129949588-129949648;-,24.658,0.896,1.747,ENST00000473814,ENCODE,No
HNRNPM,HepG2,chr7:129949588-129949648;-,24.658,0.896,1.747,ENST00000480245,ENCODE,No
HNRNPM,HepG2,chr7:129949588-129949648;-,24.658,0.896,1.747,ENST00000490974,ENCODE,No
HNRNPM,HepG2,chr7:129949588-129949648;-,24.658,0.896,1.747,ENST00000496698,ENCODE,No
EIF4G2,K562,chr7:129832428-129832512;-,24.471,0.005,-0.302,ENST00000355621,ENCODE,No
SUGP2,HepG2,chr7:129905142-129905195;-,23.704,0.019,0.155,ENST00000355621,ENCODE,No
SUGP2,HepG2,chr7:129905142-129905195;-,23.704,0.019,0.155,ENST00000472396,ENCODE,No
SUGP2,HepG2,chr7:129905142-129905195;-,23.704,0.019,0.155,ENST00000473814,ENCODE,No
SUGP2,HepG2,chr7:129905142-129905195;-,23.704,0.019,0.155,ENST00000480245,ENCODE,No
SUGP2,HepG2,chr7:129905142-129905195;-,23.704,0.019,0.155,ENST00000490974,ENCODE,No
SUGP2,HepG2,chr7:129905142-129905195;-,23.704,0.019,0.155,ENST00000496698,ENCODE,No
UTP3,K562,chr7:129893423-129893427;-,22.549,0.004,0.081,ENST00000355621,ENCODE,No
UTP3,K562,chr7:129893423-129893427;-,22.549,0.004,0.081,ENST00000472396,ENCODE,No
UTP3,K562,chr7:129893423-129893427;-,22.549,0.004,0.081,ENST00000473814,ENCODE,No
UTP3,K562,chr7:129893423-129893427;-,22.549,0.004,0.081,ENST00000480245,ENCODE,No
UTP3,K562,chr7:129893423-129893427;-,22.549,0.004,0.081,ENST00000490974,ENCODE,No
UTP3,K562,chr7:129893423-129893427;-,22.549,0.004,0.081,ENST00000496698,ENCODE,No
UPF1,K562,chr7:129832296-129832352;-,22.066,0.008,0.204,ENST00000355621,ENCODE,No
SF3B1,K562,chr7:129951422-129951428;-,21.158,0,-0.283,ENST00000355621,ENCODE,No
